1.48362,1.48362,1.48362,1.48362,1.48362,1.48362,1.48362,1.48362,1.48362,2.66941,1.48362,1.48362,-1.48362,-1.48362,-2.66941,-1.48362,-2.66941,-1.48362,-2.66941,-1.48362
1.48362,1.48362,1.48362,1.48362,1.48362,1.48362,1.48362,1.48362,1.48362,2.66942,1.48362,1.48362,-1.48362,-1.48362,-2.66941,-1.48362,-2.66941,-1.48362,-2.66941,-1.48362
1.48867,1.48867,1.39736,1.53749,1.48867,1.39736,1.53749,1.48867,1.39736,2.66942,1.39736,1.53749,-1.48867,-1.48867,-2.66941,-1.48867,-2.66941,-1.48867,-2.66941,-1.53749
1.50037,1.50037,1.19804,1.65296,1.50037,1.19804,1.65296,1.50037,1.19804,2.66942,1.19804,1.65296,-1.50037,-1.50037,-2.57672,-1.50037,-2.66941,-1.50037,-2.57672,-1.65296
1.5122,1.5122,0.998743,1.76843,1.5122,0.998743,1.76843,1.5122,0.998743,2.57672,0.998743,1.76843,-1.5122,-1.5122,-2.46125,-1.5122,-2.57672,-1.5122,-2.46125,-1.76843
1.5239,1.5239,0.799429,1.8839,1.5239,0.799429,1.8839,1.5239,0.799429,2.46125,0.799429,1.8839,-1.5239,-1.5239,-2.34578,-1.5239,-2.46125,-1.5239,-2.34578,-1.8839
1.53255,1.53255,0.599803,1.99937,1.53255,0.599803,1.99937,1.53255,0.599803,2.34578,0.599803,1.99937,-1.53255,-1.53255,-2.23031,-1.53255,-2.34578,-1.53255,-2.23031,-1.99937
1.53775,1.53775,0.399938,2.11484,1.53775,0.399938,2.11484,1.53775,0.399938,2.23031,0.399938,2.11484,-1.53775,-1.53775,-2.11484,-1.53775,-2.23031,-1.53775,-2.11484,-2.11484
1.54126,1.54126,0.2,2.23031,1.54126,0.2,2.23031,1.54126,0.2,2.11484,0.2,2.23031,-1.54126,-1.54126,-1.99937,-1.54126,-2.11484,-1.54126,-1.99937,-2.23031
1.54126,1.54126,4.47424e-16,2.34578,1.54126,1.51577e-16,2.34578,1.54126,1.82569e-16,1.99937,2.69003e-16,2.34578,-1.54126,-1.54126,-1.8839,-1.54126,-1.99937,-1.54126,-1.8839,-2.34578
1.54126,1.54126,-0.2,2.46125,1.54126,-0.2,2.46125,1.54126,-0.2,1.8839,-0.2,2.46125,-1.54126,-1.54126,-1.76843,-1.54126,-1.8839,-1.54126,-1.76843,-2.46125
1.53775,1.53775,-0.399938,2.57672,1.53775,-0.399938,2.57672,1.53775,-0.399938,1.76843,-0.399938,2.57672,-1.53775,-1.53775,-1.65296,-1.53775,-1.76843,-1.53775,-1.65296,-2.57672
1.53255,1.53255,-0.599803,2.66942,1.53255,-0.599803,2.66942,1.53255,-0.599803,1.65296,-0.599803,2.66942,-1.53255,-1.53255,-1.53749,-1.53255,-1.65296,-1.53255,-1.53749,-2.66941
1.5239,1.5239,-0.799429,2.66942,1.5239,-0.799429,2.66942,1.5239,-0.799429,1.53749,-0.799429,2.66942,-1.5239,-1.5239,-1.48362,-1.5239,-1.53749,-1.5239,-1.48362,-2.66941
